customer_id,first_tx,last_tx,num_orders,total_revenue,avg_order_value,assumed_cost,profit,profit_margin_pct,profit_50,profit_60,profit_70
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,12,77556.46,2281.0723529411766,46533.876000000004,31022.584000000003,40.0,38778.23,31022.584000000003,23266.938000000006
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,8,5633.3199999999915,22.266086956521704,3379.9919999999947,2253.327999999997,40.0,2816.6599999999958,2253.327999999997,1689.9959999999978
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,2019.4,39.596078431372554,1211.64,807.76,40.0,1009.7,807.7600000000001,605.8200000000002
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,4,4428.690000000002,25.306800000000013,2657.2140000000013,1771.476000000001,40.0,2214.345000000001,1771.476000000001,1328.6070000000009
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.40000000000003,19.67058823529412,200.64000000000001,133.76000000000002,40.0,167.20000000000002,133.76000000000002,100.32000000000002
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,14.33,180.558,120.37200000000001,40.0,150.465,120.37200000000001,90.27900000000001
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,10,2849.8400000000015,27.668349514563122,1709.904000000001,1139.9360000000006,40.0,1424.9200000000008,1139.9360000000006,854.9520000000006
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,406.75999999999993,16.94833333333333,244.05599999999995,162.70399999999998,40.0,203.37999999999997,162.70399999999998,122.02799999999999
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,18.610344827586207,647.64,431.7600000000001,40.00000000000001,539.7,431.76000000000005,323.82000000000005
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,947.61,27.074571428571428,568.566,379.044,40.0,473.805,379.04400000000004,284.2830000000001
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,6,6373.679999999995,44.571188811188776,3824.207999999997,2549.471999999998,40.0,3186.8399999999974,2549.471999999998,1912.1039999999987
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,3,18287.659999999993,61.78263513513511,10972.595999999996,7315.063999999997,40.0,9143.829999999996,7315.063999999998,5486.297999999999
